Variable,P-value
DD_lbp-3D-m1_glcm_JointEntropy,0.0015946556120144566
DD_lbp-3D-m1_glcm_SumEntropy,0.05651581112788962
DD_lbp-3D-m1_glszm_ZoneEntropy,0.0072000439831751365
DD_lbp-3D-m1_gldm_LargeDependenceHighGrayLevelEmphasis,0.27869349233030266
DD_lbp-3D-m2_firstorder_90Percentile,0.5596733204904841
DD_lbp-3D-m2_firstorder_InterquartileRange,0.7104537212447665
DD_lbp-3D-m2_firstorder_Kurtosis,0.6353800982462714
DD_lbp-3D-m2_firstorder_Maximum,0.8225233749341401
DD_lbp-3D-m2_firstorder_Mean,0.5092150176722792
DD_lbp-3D-m2_firstorder_Skewness,0.8227789914454768
DD_lbp-3D-m2_glcm_Autocorrelation,0.4942729743714097
DD_lbp-3D-m2_glcm_Correlation,0.6510356018301315
DD_lbp-3D-k_firstorder_90Percentile,0.9563618456990797
DD_lbp-3D-k_firstorder_Kurtosis,0.03315358810688623
DD_lbp-3D-k_firstorder_Maximum,0.0013869096451400872
DD_lbp-3D-k_firstorder_Minimum,0.020307016397930647
DD_lbp-3D-k_firstorder_Skewness,0.15108512753342698
DD_lbp-3D-k_glcm_Autocorrelation,0.28823461138446704
DD_lbp-3D-k_glcm_ClusterProminence,0.06463873554969313
DD_lbp-3D-k_glcm_Correlation,0.8225233749341401
DD_lbp-3D-k_glcm_Imc2,0.011129638422560515
DD_lbp-3D-k_glrlm_LongRunLowGrayLevelEmphasis,0.8936890293036186
DD_lbp-3D-k_glrlm_RunEntropy,0.016070700246348293
DD_lbp-3D-k_glszm_HighGrayLevelZoneEmphasis,0.008222863805565105
DD_lbp-3D-k_glszm_SizeZoneNonUniformityNormalized,0.8518113585341198
DD_lbp-3D-k_glszm_ZoneEntropy,0.016070700246348293
DD_lbp-3D-k_gldm_DependenceEntropy,0.005312618835233034
DD_lbp-3D-k_gldm_LargeDependenceHighGrayLevelEmphasis,0.017344513413063662
DD_logarithm_glcm_Correlation,0.6353800982462714
DD_logarithm_glcm_Imc1,0.33903708520690456
DD_logarithm_glrlm_LongRunEmphasis,0.17043626063082493
DD_logarithm_glrlm_LongRunLowGrayLevelEmphasis,0.7958426395555763
DD_logarithm_glrlm_LowGrayLevelRunEmphasis,0.1202842474130637
DD_logarithm_glszm_GrayLevelNonUniformity,0.34490680428338993
DD_logarithm_glszm_GrayLevelNonUniformityNormalized,0.33106108220800423
DD_logarithm_glszm_LowGrayLevelZoneEmphasis,0.14243363237041223
DD_logarithm_glszm_SizeZoneNonUniformityNormalized,0.7044303843798608
DD_logarithm_glszm_SmallAreaEmphasis,0.28550614033192584
DD_logarithm_glszm_SmallAreaLowGrayLevelEmphasis,0.6556692245753265
DD_logarithm_glszm_ZoneEntropy,0.14913503991826751
DD_logarithm_gldm_DependenceNonUniformityNormalized,0.6730318602210494
DD_logarithm_gldm_DependenceVariance,0.096702438451886
DD_logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,0.778972869155377
